optimizer,learning_rate,accuracy,run
Adagrad,0.070,0.767123281955719,3
Adadelta,0.001,0.42465752363204956,3
Adadelta,0.002,0.42465752363204956,3
Adadelta,0.003,0.42465752363204956,3
Adadelta,0.005,0.42465752363204956,3
Adadelta,0.010,0.4931506812572479,3
Adadelta,0.015,0.5753424763679504,3
Adadelta,0.020,0.5753424763679504,3
Adadelta,0.030,0.6575342416763306,3
Adadelta,0.040,0.6712328791618347,3
Adadelta,0.050,0.6712328791618347,3
Adadelta,0.060,0.6575342416763306,3
Adadelta,0.070,0.6712328791618347,3
AdamW,0.001,0.767123281955719,3
AdamW,0.002,0.8630136847496033,3
AdamW,0.003,0.8082191944122314,3
AdamW,0.005,0.8219178318977356,3
AdamW,0.010,0.835616409778595,3
AdamW,0.015,0.8082191944122314,3
AdamW,0.020,0.7397260069847107,3
AdamW,0.030,0.7260273694992065,3
AdamW,0.040,0.8219178318977356,3
AdamW,0.050,0.8630136847496033,3
AdamW,0.060,0.7945205569267273,3
AdamW,0.070,0.42465752363204956,3
Nadam,0.001,0.6849315166473389,3
Nadam,0.002,0.8767123222351074,3
Nadam,0.003,0.8219178318977356,3
Nadam,0.005,0.8219178318977356,3
Nadam,0.010,0.8630136847496033,3
Nadam,0.015,0.8767123222351074,3
Nadam,0.020,0.8767123222351074,3
Nadam,0.030,0.42465752363204956,3
Nadam,0.040,0.7123287916183472,3
Nadam,0.050,0.42465752363204956,3
Nadam,0.060,0.7123287916183472,3
Nadam,0.070,0.7397260069847107,3
Adam,0.001,0.8904109597206116,4
Adam,0.002,0.8493150472640991,4
Adam,0.003,0.8630136847496033,4
Adam,0.005,0.8493150472640991,4
Adam,0.010,0.8493150472640991,4
Adam,0.015,0.6712328791618347,4
Adam,0.020,0.8493150472640991,4
Adam,0.030,0.7397260069847107,4
Adam,0.040,0.42465752363204956,4
Adam,0.050,0.7123287916183472,4
Adam,0.060,0.835616409778595,4
Adam,0.070,0.42465752363204956,4
SGD,0.001,0.42465752363204956,4
SGD,0.002,0.42465752363204956,4
SGD,0.003,0.5890411138534546,4
SGD,0.005,0.6575342416763306,4
SGD,0.010,0.6438356041908264,4
SGD,0.015,0.6712328791618347,4
SGD,0.020,0.6575342416763306,4
SGD,0.030,0.6712328791618347,4
SGD,0.040,0.6712328791618347,4
SGD,0.050,0.6712328791618347,4
SGD,0.060,0.6712328791618347,4
SGD,0.070,0.6575342416763306,4
RMSprop,0.001,0.835616409778595,4
RMSprop,0.002,0.7808219194412231,4
RMSprop,0.003,0.6849315166473389,4
RMSprop,0.005,0.8630136847496033,4
RMSprop,0.010,0.7397260069847107,4
RMSprop,0.015,0.8493150472640991,4
RMSprop,0.020,0.835616409778595,4
RMSprop,0.030,0.42465752363204956,4
RMSprop,0.040,0.7397260069847107,4
RMSprop,0.050,0.8630136847496033,4
RMSprop,0.060,0.7397260069847107,4
RMSprop,0.070,0.42465752363204956,4
Adagrad,0.001,0.6027397513389587,4
Adagrad,0.002,0.5890411138534546,4
Adagrad,0.003,0.6438356041908264,4
Adagrad,0.005,0.6712328791618347,4
Adagrad,0.010,0.6712328791618347,4
Adagrad,0.015,0.6712328791618347,4
Adagrad,0.020,0.6575342416763306,4
Adagrad,0.030,0.6712328791618347,4
Adagrad,0.040,0.6849315166473389,4
Adagrad,0.050,0.8767123222351074,4
Adagrad,0.060,0.6712328791618347,4
Adagrad,0.070,0.8630136847496033,4
Adadelta,0.001,0.6849315166473389,4
Adadelta,0.002,0.42465752363204956,4
Adadelta,0.003,0.42465752363204956,4
Adadelta,0.005,0.4383561611175537,4
Adadelta,0.010,0.4383561611175537,4
Adadelta,0.015,0.5753424763679504,4
Adadelta,0.020,0.6027397513389587,4
Adadelta,0.030,0.6575342416763306,4
Adadelta,0.040,0.6712328791618347,4
Adadelta,0.050,0.6575342416763306,4
Adadelta,0.060,0.6301369667053223,4
Adadelta,0.070,0.6575342416763306,4
AdamW,0.001,0.8082191944122314,4
AdamW,0.002,0.767123281955719,4
AdamW,0.003,0.7945205569267273,4
AdamW,0.005,0.8082191944122314,4
AdamW,0.010,0.835616409778595,4
AdamW,0.015,0.7260273694992065,4
AdamW,0.020,0.8630136847496033,4
AdamW,0.030,0.7397260069847107,4
AdamW,0.040,0.7123287916183472,4
AdamW,0.050,0.7397260069847107,4
AdamW,0.060,0.42465752363204956,4
AdamW,0.070,0.7123287916183472,4
Nadam,0.001,0.7808219194412231,4
Nadam,0.002,0.8630136847496033,4
Nadam,0.003,0.8082191944122314,4
Nadam,0.005,0.8904109597206116,4
Nadam,0.010,0.7260273694992065,4
Nadam,0.015,0.8082191944122314,4
